"customer_id","age","gender","item_purchased","category","purchase_amount","purchase_date","location","size","color","season","review_rating","subscription_status","shipping_type","discount_applied","promo_code_used","previous_purchases","payment_method","frequency_of_purchases","age_group","purchase_frequency_days"
"8034","66","Female","Laptop","Electronics","55444","2024-12-14 03:43:37","Chennai","Unknown","Gray","Summer","3.4","No","Next Day Air","No","Yes","12","PayPal","Weekly","Senior","7"
"8035","25","Female","Jacket","Clothing","4980","2025-06-26 00:07:23","Mumbai","XL","Black","Fall","3.9","No","Express","Yes","No","11","Debit Card","Annually","Young Adult","365"
"8036","59","Male","Watch","Accessories","3237","2025-05-16 14:50:36","Kolkata","Unknown","Red","Summer","4.9","Yes","Next Day Air","No","No","14","Credit Card","Monthly","Senior","30"
"8037","53","Female","Laptop","Electronics","36105","2024-10-18 08:22:30","Mumbai","Unknown","White","Winter","4","No","Express","No","No","12","PayPal","Quarterly","Middle-aged","90"
"8038","46","Female","Boots","Footwear","12865","2024-05-30 14:16:23","Bengaluru","Unknown","Black","Winter","2.9","No","Next Day Air","No","No","13","Cash","Weekly","Middle-aged","7"
"8039","56","Male","Jeans","Clothing","8134","2024-10-01 02:50:35","Mumbai","L","Brown","Winter","4.7","No","Express","No","Yes","4","Debit Card","Monthly","Middle-aged","30"
"8040","51","Female","Sneakers","Footwear","9711","2025-06-14 01:24:43","Pune","Unknown","Green","Spring","3.1","No","Express","No","No","9","Debit Card","Weekly","Middle-aged","7"
"8041","39","Female","Headphones","Electronics","121761","2025-06-13 03:04:11","Chennai","Unknown","Black","Winter","4.2","No","Express","No","No","14","Debit Card","Bi-Weekly","Adult","14"
"8042","48","Female","Boots","Footwear","12699","2025-04-26 06:08:54","Mumbai","Unknown","Blue","Spring","4.3","Yes","Express","Yes","No","9","Credit Card","Weekly","Middle-aged","7"
"8043","45","Male","T-Shirt","Clothing","8964","2025-06-29 13:02:54","Mumbai","L","Brown","Winter","4.3","No","Next Day Air","Yes","Yes","13","Credit Card","Weekly","Middle-aged","7"
"8044","52","Female","Laptop","Electronics","112050","2024-02-09 18:28:13","Hyderabad","Unknown","Gray","Spring","3.4","No","Standard","Yes","No","6","Credit Card","Monthly","Middle-aged","30"
"8045","51","Female","Jacket","Clothing","11952","2025-04-29 23:06:17","Chennai","XL","Brown","Winter","4.2","No","Standard","Yes","No","10","Debit Card","Monthly","Middle-aged","30"
"8046","30","Female","Watch","Accessories","11371","2024-01-15 22:44:50","Kolkata","Unknown","Brown","Winter","4","No","Standard","Yes","Yes","10","Credit Card","Quarterly","Young Adult","90"
"8047","58","Male","Boots","Footwear","16517","2024-05-28 06:44:14","Pune","Unknown","Green","Summer","3.7","No","Express","No","Yes","10","Debit Card","Monthly","Senior","30"
"8048","21","Female","Watch","Accessories","24568","2024-08-29 05:25:29","Kolkata","Unknown","Blue","Summer","4.5","No","Next Day Air","No","Yes","11","Credit Card","Monthly","Young Adult","30"
"8049","60","Female","Laptop","Electronics","42994","2025-12-12 10:16:56","Hyderabad","Unknown","Green","Fall","3","Yes","Not Specified","Yes","No","8","Credit Card","Quarterly","Senior","90"
"8050","23","Female","Laptop","Electronics","94537","2025-08-11 07:01:34","Hyderabad","Unknown","Brown","Winter","4.1","No","Standard","No","No","8","Debit Card","Quarterly","Young Adult","90"
"8051","18","Male","Watch","Accessories","7802","2025-12-16 03:58:43","Mumbai","Unknown","Brown","Fall","2.3","Yes","Express","Yes","No","10","Cash","Monthly","Young Adult","30"
"8052","29","Female","Backpack","Accessories","20750","2025-03-17 15:55:23","Pune","Unknown","Red","Fall","3.2","No","Not Specified","Yes","No","6","Google Pay","Monthly","Young Adult","30"
"8053","52","Female","T-Shirt","Clothing","1660","2025-08-08 01:03:05","Delhi","XL","Gray","Summer","4.4","Yes","Standard","No","Yes","6","PayPal","Bi-Weekly","Middle-aged","14"
"8054","28","Female","Sneakers","Footwear","10375","2025-10-26 11:46:14","Hyderabad","Unknown","Blue","Winter","3.6","Yes","Next Day Air","Yes","No","8","Debit Card","Weekly","Young Adult","7"
"8055","40","Male","Sneakers","Footwear","3652","2025-09-17 08:12:13","Kolkata","Unknown","Red","Summer","5","Yes","Standard","No","No","6","Credit Card","Quarterly","Adult","90"
"8056","31","Male","Jeans","Clothing","1992","2025-01-28 01:55:41","Chennai","M","Brown","Summer","3.2","Yes","Next Day Air","No","No","9","Credit Card","Weekly","Young Adult","7"
"8057","36","Female","Jeans","Clothing","3403","2025-11-21 17:40:52","Pune","M","Blue","Summer","3.6","No","Express","No","No","8","Credit Card","Quarterly","Adult","90"
"8058","54","Female","Boots","Footwear","8964","2025-02-23 10:05:00","Bengaluru","Unknown","Gray","Fall","4.6","Yes","Free Shipping","No","No","8","Debit Card","Bi-Weekly","Middle-aged","14"
"8059","33","Male","Boots","Footwear","13446","2025-06-28 14:09:36","Delhi","Unknown","Black","Fall","4.1","No","Next Day Air","No","Yes","5","Debit Card","Weekly","Adult","7"
"8060","61","Male","Laptop","Electronics","62333","2024-09-25 05:42:35","Mumbai","Unknown","Gray","Fall","3.6","No","Not Specified","No","No","11","Debit Card","Bi-Weekly","Senior","14"
"8061","45","Female","Jeans","Clothing","5810","2024-07-14 07:25:00","Jaipur","L","Gray","Summer","4.6","No","Express","Yes","No","8","Credit Card","Annually","Middle-aged","365"
"8062","62","Male","Jeans","Clothing","4648","2024-09-23 21:45:58","Chennai","S","Red","Spring","4.8","Yes","Standard","No","No","10","Credit Card","Weekly","Senior","7"
"8063","48","Female","Backpack","Accessories","13280","2025-04-12 21:07:50","Delhi","Unknown","Brown","Spring","4.4","No","Standard","Yes","No","5","Credit Card","Annually","Middle-aged","365"
"8064","24","Male","Jacket","Clothing","3652","2024-12-12 17:14:44","Mumbai","XL","Brown","Fall","4.7","Yes","Standard","No","No","11","Credit Card","Bi-Weekly","Young Adult","14"
"8065","63","Female","T-Shirt","Clothing","5893","2025-11-23 02:42:47","Jaipur","XL","Brown","Summer","2","No","Express","No","Yes","11","Apple Pay","Quarterly","Senior","90"
"8066","69","Female","Boots","Footwear","6557","2024-04-30 16:06:29","Jaipur","Unknown","Gray","Winter","4.6","No","Standard","No","No","10","Credit Card","Monthly","Senior","30"
"8067","44","Female","Headphones","Electronics","76111","2025-01-14 20:12:00","Kolkata","Unknown","Red","Fall","4.3","Yes","Standard","No","No","16","Credit Card","Bi-Weekly","Middle-aged","14"
"8068","34","Female","Jacket","Clothing","7719","2024-03-18 14:43:05","Chennai","L","Brown","Winter","3.4","No","Standard","No","No","6","Debit Card","Bi-Weekly","Adult","14"
"8069","24","Male","Backpack","Accessories","2988","2025-09-06 20:29:09","Bengaluru","Unknown","Blue","Fall","4.4","No","Express","Yes","No Promo","11","Google Pay","Quarterly","Young Adult","90"
"8070","32","Female","Jeans","Clothing","8715","2025-06-20 00:17:49","Pune","M","Green","Summer","5","No","Express","Yes","Yes","7","Apple Pay","Quarterly","Adult","90"
"8071","57","Female","Boots","Footwear","12699","2024-04-11 21:19:11","Pune","Unknown","Gray","Spring","4.9","Yes","Next Day Air","No","Yes","7","Credit Card","Bi-Weekly","Middle-aged","14"
"8072","29","Female","Laptop","Electronics","74783","2025-02-20 05:33:46","Delhi","Unknown","White","Spring","4.9","No","Express","No","No","7","Debit Card","Quarterly","Young Adult","90"
"8073","25","Female","Laptop","Electronics","17098","2025-02-17 00:04:00","Mumbai","Unknown","Blue","Winter","3.9","No","Standard","Yes","No","8","Debit Card","Monthly","Young Adult","30"
"8074","19","Male","Headphones","Electronics","19588","2025-12-04 16:05:10","Delhi","Unknown","Brown","Spring","5","Yes","Standard","No","No","8","PayPal","Quarterly","Young Adult","90"
"8075","61","Female","Watch","Accessories","16600","2025-02-07 11:53:03","Chennai","Unknown","White","Summer","5","No","Standard","Yes","No","13","Credit Card","Bi-Weekly","Senior","14"
"8076","55","Female","Headphones","Electronics","103501","2025-01-26 11:57:33","Delhi","Unknown","Green","Winter","2.7","No","Express","Yes","No","12","Credit Card","Bi-Weekly","Middle-aged","14"
"8077","43","Female","Jacket","Clothing","6889","2025-02-15 13:30:09","Pune","S","White","Spring","4.2","No","Express","Yes","No","6","Debit Card","Quarterly","Adult","90"
"8078","68","Male","Watch","Accessories","2407","2025-06-27 23:17:23","Pune","Unknown","White","Winter","4.6","No","Next Day Air","No","No","12","Credit Card","Bi-Weekly","Senior","14"
"8079","38","Female","Backpack","Accessories","5312","2025-07-02 15:07:22","Hyderabad","Unknown","Red","Winter","3.8","No","Standard","No","No","8","PayPal","Monthly","Adult","30"
"8080","67","Female","Sneakers","Footwear","3652","2024-12-29 21:37:31","Pune","Unknown","Blue","Winter","2.1","Yes","Express","No","No","12","Debit Card","Monthly","Senior","30"
"8081","30","Male","Headphones","Electronics","66732","2024-12-04 06:06:27","Mumbai","Unknown","Green","Fall","4.4","No","Standard","Yes","Yes","9","PayPal","Monthly","Young Adult","30"
"8082","36","Male","Boots","Footwear","13280","2024-12-08 06:16:33","Hyderabad","Unknown","Black","Summer","4.8","No","Express","No","No","12","Debit Card","Quarterly","Adult","90"
"8083","35","Female","Watch","Accessories","14608","2025-07-10 15:49:59","Bengaluru","Unknown","Green","Summer","4.7","No","Standard","Yes","No","10","Debit Card","Bi-Weekly","Adult","14"
"8084","19","Female","Sneakers","Footwear","5810","2025-01-06 22:08:07","Kolkata","Unknown","Green","Winter","4.5","Yes","Next Day Air","No","No","10","Debit Card","Monthly","Young Adult","30"
"8085","69","Female","Sneakers","Footwear","12035","2024-11-29 02:53:20","Hyderabad","Unknown","Black","Fall","4","Yes","Express","Yes","No","11","Credit Card","Bi-Weekly","Senior","14"
"8086","62","Female","Jacket","Clothing","6972","2024-07-14 00:33:05","Jaipur","S","White","Winter","5","No","Next Day Air","Yes","Yes","11","Apple Pay","Weekly","Senior","7"
"8087","59","Female","Jeans","Clothing","5644","2024-03-17 07:55:10","Mumbai","L","Black","Spring","3.1","Yes","Standard","Yes","No","7","PayPal","Bi-Weekly","Senior","14"
"8088","66","Female","Sneakers","Footwear","4399","2024-05-21 00:01:22","Jaipur","Unknown","Gray","Summer","4","Yes","Express","No","Yes","7","Credit Card","Quarterly","Senior","90"
"8089","45","Male","Smartphone","Electronics","28552","2024-06-04 15:26:56","Chennai","Unknown","Gray","Summer","4.3","Yes","Standard","No","No","12","Debit Card","Monthly","Middle-aged","30"
"8090","67","Female","Laptop","Electronics","87067","2024-01-16 03:59:35","Chennai","Unknown","Brown","Summer","4.3","No","Standard","No","Yes","8","Cash","Monthly","Senior","30"
"8091","40","Female","Sneakers","Footwear","5063","2025-09-12 09:30:54","Kolkata","Unknown","Brown","Spring","4.6","No","Express","No","Yes","11","Credit Card","Monthly","Adult","30"
"8092","21","Female","Smartphone","Electronics","51460","2024-01-24 09:42:27","Bengaluru","Unknown","Blue","Fall","4.3","No","Standard","No","Yes","11","Credit Card","Weekly","Young Adult","7"
"8093","21","Male","Smartphone","Electronics","91051","2024-10-26 17:57:16","Kolkata","Unknown","Green","Spring","4.5","Yes","Next Day Air","Yes","No","6","Apple Pay","Monthly","Young Adult","30"
"8094","29","Male","Jacket","Clothing","1909","2024-02-14 05:24:42","Chennai","S","Red","Summer","3.2","No","Standard","No","No","10","Credit Card","Monthly","Young Adult","30"
"8095","39","Female","Sneakers","Footwear","6474","2025-09-17 17:14:50","Hyderabad","Unknown","Black","Summer","3.4","Yes","Standard","No","No","10","PayPal","Weekly","Adult","7"
"8096","43","Female","Sneakers","Footwear","11869","2024-07-22 03:31:19","Bengaluru","Unknown","Red","Summer","3.6","Yes","Standard","No","Yes","18","Debit Card","Annually","Adult","365"
"8097","57","Male","Jacket","Clothing","10126","2025-01-09 15:54:57","Bengaluru","S","Black","Spring","3.8","No","Free Shipping","No","Yes","6","Debit Card","Monthly","Middle-aged","30"
"8098","59","Male","Smartphone","Electronics","30046","2024-08-06 01:48:06","Pune","Unknown","Brown","Fall","3.4","No","Free Shipping","Yes","Yes","8","Cash","Weekly","Senior","7"
"8099","52","Male","Laptop","Electronics","124085","2024-01-16 20:40:29","Chennai","Unknown","Gray","Fall","3","No","Standard","Yes","Yes","13","Debit Card","Quarterly","Middle-aged","90"
"8100","21","Male","Boots","Footwear","14442","2024-03-16 08:21:53","Kolkata","Unknown","White","Spring","3.6","No","Next Day Air","No","No","4","Google Pay","Monthly","Young Adult","30"
"8101","29","Female","Smartphone","Electronics","97608","2025-03-11 22:12:15","Pune","Unknown","Brown","Summer","3.9","Yes","Standard","Yes","Yes","8","PayPal","Monthly","Young Adult","30"
"8102","21","Male","Jeans","Clothing","4980","2024-09-29 07:27:41","Kolkata","L","Blue","Winter","4.7","No","Express","No","No","7","Debit Card","Weekly","Young Adult","7"
"8103","69","Female","Laptop","Electronics","74036","2025-07-11 14:36:44","Pune","Unknown","Black","Winter","4.5","No","Standard","No","No","10","Credit Card","Monthly","Senior","30"
"8104","48","Male","Smartphone","Electronics","53286","2025-08-21 02:05:04","Pune","Unknown","Gray","Fall","5","No","Express","Yes","No","10","Google Pay","Bi-Weekly","Middle-aged","14"
"8105","24","Female","Backpack","Accessories","22659","2025-09-24 15:18:29","Pune","Unknown","White","Fall","2.8","No","Standard","No","Yes","9","Credit Card","Weekly","Young Adult","7"
"8106","27","Female","Backpack","Accessories","17347","2025-06-15 04:41:02","Chennai","Unknown","Brown","Spring","4.8","No","Standard","No","No","6","Credit Card","Quarterly","Young Adult","90"
"8107","41","Male","Smartphone","Electronics","36022","2024-11-16 20:10:40","Pune","Unknown","White","Winter","4.1","No","Standard","Yes","Yes","12","Debit Card","Quarterly","Adult","90"
"8108","32","Male","Boots","Footwear","8134","2024-09-03 08:35:19","Pune","Unknown","Red","Spring","3.8","No","Express","No","No","4","PayPal","Bi-Weekly","Adult","14"
"8109","56","Male","T-Shirt","Clothing","3984","2024-06-19 22:25:06","Kolkata","L","Black","Spring","3.8","No","Standard","No","No","11","Credit Card","Annually","Middle-aged","365"
"8110","37","Male","Sneakers","Footwear","15023","2024-07-24 04:23:09","Mumbai","Unknown","Gray","Fall","2.8","No","Standard","Yes","Yes","9","Credit Card","Bi-Weekly","Adult","14"
"8111","24","Female","Laptop","Electronics","81921","2024-09-05 04:48:17","Jaipur","Unknown","Red","Summer","4.1","No","Standard","Yes","No","6","Credit Card","Annually","Young Adult","365"
"8112","30","Female","Boots","Footwear","3320","2024-12-12 21:13:58","Hyderabad","Unknown","White","Winter","3.9","No","Standard","No","No","6","Apple Pay","Quarterly","Young Adult","90"
"8113","45","Female","Laptop","Electronics","113461","2025-11-08 13:38:14","Delhi","Unknown","Brown","Fall","4.9","No","Free Shipping","No","No","8","Debit Card","Monthly","Middle-aged","30"
"8114","56","Male","Smartphone","Electronics","64989","2024-04-16 10:06:52","Jaipur","Unknown","Green","Spring","4.4","Yes","Standard","No","Yes","5","PayPal","Bi-Weekly","Middle-aged","14"
"8115","35","Male","Headphones","Electronics","58017","2025-12-25 14:05:51","Hyderabad","Unknown","Brown","Summer","4.4","No","Standard","Yes","No","9","Credit Card","Quarterly","Adult","90"
"8116","64","Male","Backpack","Accessories","4399","2024-06-18 08:57:04","Delhi","Unknown","Green","Fall","4","Yes","Standard","No","Yes","16","Credit Card","Bi-Weekly","Senior","14"
"8117","28","Female","Sneakers","Footwear","8134","2024-07-18 10:05:50","Kolkata","Unknown","Red","Fall","4.5","No","Next Day Air","No","No","10","Apple Pay","Monthly","Young Adult","30"
"8118","53","Female","T-Shirt","Clothing","1826","2024-02-13 10:13:34","Hyderabad","XL","Brown","Fall","4","No","Standard","Yes","No","6","Google Pay","Quarterly","Middle-aged","90"
"8119","53","Female","T-Shirt","Clothing","8964","2025-09-15 12:19:06","Mumbai","L","Black","Fall","2.8","No","Standard","No","No","10","Debit Card","Monthly","Middle-aged","30"
"8120","19","Female","Backpack","Accessories","21995","2024-06-02 11:41:44","Pune","Unknown","White","Summer","2.5","Yes","Free Shipping","No","No","10","Debit Card","Monthly","Young Adult","30"
"8121","65","Female","Sneakers","Footwear","15023","2025-09-21 01:56:23","Jaipur","Unknown","Red","Spring","3.4","No","Standard","Yes","Yes","12","Credit Card","Quarterly","Senior","90"
"8122","63","Male","Backpack","Accessories","10458","2024-12-28 07:53:05","Bengaluru","Unknown","Blue","Summer","3.6","No","Next Day Air","No","No","8","Credit Card","Bi-Weekly","Senior","14"
"8123","34","Female","Jeans","Clothing","10126","2025-02-24 08:43:52","Hyderabad","M","Gray","Summer","3.5","No","Standard","Yes","Yes","8","PayPal","Annually","Adult","365"
"8124","23","Male","Laptop","Electronics","16434","2025-09-19 11:30:33","Kolkata","Unknown","Black","Summer","3.7","No","Express","No","No","12","Credit Card","Quarterly","Young Adult","90"
"8125","58","Female","Smartphone","Electronics","13446","2024-12-16 21:36:23","Mumbai","Unknown","White","Spring","4.3","No","Standard","Yes","No","7","Credit Card","Bi-Weekly","Senior","14"
"8126","63","Male","Backpack","Accessories","13446","2024-08-11 05:02:48","Hyderabad","Unknown","Brown","Spring","3.9","No","Standard","No","No","8","PayPal","Monthly","Senior","30"
"8127","40","Female","Smartphone","Electronics","56025","2024-09-05 17:31:01","Kolkata","Unknown","Brown","Spring","4","Yes","Express","No","No","9","Credit Card","Monthly","Adult","30"
"8128","64","Female","Smartphone","Electronics","73787","2024-11-02 16:03:27","Delhi","Unknown","Brown","Summer","3.7","Yes","Next Day Air","No","No","13","Apple Pay","Bi-Weekly","Senior","14"
"8129","33","Male","Headphones","Electronics","53535","2024-08-23 23:02:37","Chennai","Unknown","Brown","Summer","4.2","No","Express","Yes","No","10","Credit Card","Quarterly","Adult","90"
"8130","58","Male","Watch","Accessories","23489","2024-04-23 19:38:35","Mumbai","Unknown","Blue","Summer","3.8","No","Standard","Yes","No","7","Credit Card","Monthly","Senior","30"
"8131","43","Female","Backpack","Accessories","9960","2025-12-12 03:30:23","Mumbai","Unknown","Gray","Fall","3.3","No","Express","No","No","15","Credit Card","Annually","Adult","365"
"8132","63","Female","T-Shirt","Clothing","4482","2025-11-27 11:39:13","Pune","M","Black","Summer","5","No","Next Day Air","No","No Promo","8","Debit Card","Bi-Weekly","Senior","14"
"8133","67","Female","Jeans","Clothing","12284","2024-03-19 01:17:17","Jaipur","L","Red","Fall","4.8","No","Free Shipping","Yes","Yes","7","Debit Card","Weekly","Senior","7"
"8134","18","Male","Jacket","Clothing","1826","2024-04-19 06:39:30","Kolkata","M","Green","Summer","3","Yes","Not Specified","No","Yes","9","Apple Pay","Bi-Weekly","Young Adult","14"
"8135","53","Female","Smartphone","Electronics","15438","2025-03-25 06:52:47","Pune","Unknown","Brown","Summer","4.3","No","Standard","Yes","No","12","Credit Card","Weekly","Middle-aged","7"
"8136","47","Female","Backpack","Accessories","20999","2024-01-31 13:21:32","Jaipur","Unknown","Blue","Spring","3","No","Express","Yes","Yes","17","Credit Card","Monthly","Middle-aged","30"
"8137","19","Female","Jacket","Clothing","9379","2024-08-08 00:07:51","Hyderabad","L","Brown","Fall","3.4","No","Next Day Air","Yes","No","20","Cash","Bi-Weekly","Young Adult","14"
"8138","37","Male","Jacket","Clothing","12118","2024-11-17 17:36:33","Pune","XL","Black","Spring","3.8","Yes","Standard","Yes","No","9","Credit Card","Quarterly","Adult","90"
"8139","22","Male","Sneakers","Footwear","7719","2024-03-04 00:11:20","Bengaluru","Unknown","Red","Winter","4.9","No","Next Day Air","No","No","14","Debit Card","Monthly","Young Adult","30"
"8140","48","Male","Smartphone","Electronics","118192","2024-04-10 21:40:50","Jaipur","Unknown","Black","Winter","5","Yes","Standard","No","No","10","Cash","Monthly","Middle-aged","30"
"8141","25","Female","Headphones","Electronics","88644","2024-10-28 13:57:07","Mumbai","Unknown","Gray","Winter","3.3","No","Standard","No","No","7","Debit Card","Annually","Young Adult","365"
"8142","47","Male","Backpack","Accessories","9213","2025-04-04 10:52:27","Kolkata","Unknown","Red","Fall","3.4","No","Free Shipping","Yes","No","8","Credit Card","Weekly","Middle-aged","7"
"8143","56","Female","Sneakers","Footwear","4067","2024-07-06 23:42:44","Kolkata","Unknown","Gray","Fall","4.1","No","Standard","No","No","9","Credit Card","Monthly","Middle-aged","30"
"8144","19","Male","Backpack","Accessories","15853","2025-06-07 18:14:46","Delhi","Unknown","Blue","Spring","4.3","No","Next Day Air","No","Yes","7","Debit Card","Monthly","Young Adult","30"
"8145","30","Female","Headphones","Electronics","77107","2025-06-07 16:12:05","Bengaluru","Unknown","Blue","Fall","3.8","No","Next Day Air","Yes","No","6","PayPal","Monthly","Young Adult","30"
"8146","21","Male","Smartphone","Electronics","110971","2025-04-16 14:07:55","Bengaluru","Unknown","Brown","Fall","3.8","Yes","Standard","No","No","10","Credit Card","Monthly","Young Adult","30"
"8147","62","Female","T-Shirt","Clothing","8798","2025-10-29 23:19:57","Kolkata","S","Green","Summer","3.5","No","Express","No","No","8","Credit Card","Bi-Weekly","Senior","14"
"8148","69","Male","T-Shirt","Clothing","8798","2025-03-28 12:15:42","Pune","XL","Blue","Winter","4.5","Yes","Standard","Yes","No","11","Credit Card","Monthly","Senior","30"
"8149","25","Male","Sneakers","Footwear","3901","2025-10-20 03:16:04","Delhi","Unknown","Green","Fall","4.2","No","Standard","Yes","No","11","PayPal","Annually","Young Adult","365"
"8150","56","Male","Jeans","Clothing","5644","2024-08-05 02:42:17","Kolkata","XL","White","Spring","4.8","Yes","Express","Yes","No","9","PayPal","Monthly","Middle-aged","30"
"8151","42","Male","Headphones","Electronics","41500","2024-04-14 14:09:44","Chennai","Unknown","Gray","Winter","2.8","Yes","Standard","No","No","8","PayPal","Monthly","Adult","30"
